Device,Interface,Addresses
fngfw-01-iad,DC/US/1_2,10.254.255.0
fngfw-01-lvs,DC/US/1_1,10.254.255.1
fngfw-01-msp,DC/US/1_4,10.254.255.10
fngfw-01-por,DC/US/1_3,10.254.255.11
fngfw-01-ams,DC/US/1_4,10.254.255.12
fngfw-01-por,DC/US/1_5,10.254.255.13
fngfw-01-ams,DC/US/1_1,10.254.255.15
fngfw-01-iad,DC/US/1_5,10.254.255.14
fngfw-01-ams,DC/US/1_3,10.254.255.17
fngfw-01-msp,DC/US/1_5,10.254.255.16
fngfw-01-ams,DC/US/1_2,10.254.255.19
fngfw-01-lvs,DC/US/1_5,10.254.255.18
fngfw-01-iad,DC/US/1_3,10.254.255.2
fngfw-01-msp,DC/US/1_1,10.254.255.3
fngfw-01-ams,DC/US/1_c,10.254.255.20
fngfw-01-fra,DC/US/1_5,10.254.255.21
fngfw-01-iad,DC/US/1_c,10.254.255.22
fngfw-01-fra,DC/US/1_1,10.254.255.23
fngfw-01-lvs,DC/US/1_c,10.254.255.24
fngfw-01-fra,DC/US/1_2,10.254.255.25
fngfw-01-msp,DC/US/1_c,10.254.255.26
fngfw-01-fra,DC/US/1_3,10.254.255.27
fngfw-01-por,DC/US/1_c,10.254.255.28
fngfw-01-fra,DC/US/1_4,10.254.255.29
fngfw-01-usw2-fed,AWS/Fed_d,10.254.255.30
fngfw-01-fed-use2,AWS/Fed_e,10.254.255.31
fngfw-01-usw2-fed,AWS/Fed_f,10.254.255.32
fngfw-01-iad/FedGov,AWS/Fed_e,10.254.255.33
fngfw-01-fed-use2,AWS/Fed_f,10.254.255.34
fngfw-01-iad/FedGov,AWS/Fed_d,10.254.255.35
fngfw-01-fed-use2,AWS/Fed_10,10.254.255.37
fngfw-01-VDI,AWS/Fed_d,10.254.255.36
fngfw-01-usw2-fed,AWS/Fed_10,10.254.255.39
fngfw-01-VDI,AWS/Fed_e,10.254.255.38
fngfw-01-iad,DC/US/1_4,10.254.255.4
fngfw-01-por,DC/US/1_1,10.254.255.5
fngfw-01-iad/FedGov,AWS/Fed_10,10.254.255.41
fngfw-01-VDI,AWS/Fed_f,10.254.255.40
fngfw-01-ams,DC/US/1_13,10.254.255.42
fngfw-01-VDI,DC/US/1_5,10.254.255.43
fngfw-01-iad,DC/US/1_13,10.254.255.44
fngfw-01-VDI,DC/US/1_1,10.254.255.45
fngfw-01-lvs,DC/US/1_13,10.254.255.46
fngfw-01-VDI,DC/US/1_2,10.254.255.47
fngfw-01-msp,DC/US/1_13,10.254.255.48
fngfw-01-VDI,DC/US/1_3,10.254.255.49
fngfw-01-por,DC/US/1_13,10.254.255.50
fngfw-01-VDI,DC/US/1_4,10.254.255.51
fngfw-01-fra,DC/US/1_13,10.254.255.52
fngfw-01-VDI,DC/US/1_c,10.254.255.53
fngfw-01-msp,DC/US/1_14,10.254.255.54
fngfw-01-sng,DC/US/1_3,10.254.255.55
fngfw-01-iad,DC/US/1_14,10.254.255.56
fngfw-01-sng,DC/US/1_1,10.254.255.57
fngfw-01-lvs,DC/US/1_14,10.254.255.58
fngfw-01-sng,DC/US/1_2,10.254.255.59
fngfw-01-lvs,DC/US/1_3,10.254.255.6
fngfw-01-msp,DC/US/1_2,10.254.255.7
fngfw-01-por,DC/US/1_14,10.254.255.60
fngfw-01-sng,DC/US/1_4,10.254.255.61
fngfw-01-ams,DC/US/1_14,10.254.255.62
fngfw-01-sng,DC/US/1_5,10.254.255.63
fngfw-01-fra,DC/US/1_14,10.254.255.64
fngfw-01-sng,DC/US/1_c,10.254.255.65
fngfw-01-iad,DC/US/1_15,10.254.255.67
fngfw-01-comm2_usw2,DC/US/1_15_1,10.254.255.66
fngfw-01-msp,DC/US/1_15,10.254.255.69
fngfw-01-comm2_usw2,DC/US/1_15_2,10.254.255.68
fngfw-01-lvs,DC/US/1_15,10.254.255.71
fngfw-01-comm2_usw2,DC/US/1_15_3,10.254.255.70
fngfw-01-por,DC/US/1_15,10.254.255.73
fngfw-01-comm2_usw2,DC/US/1_15_4,10.254.255.72
fngfw-01-ams,DC/US/1_15,10.254.255.75
fngfw-01-comm2_usw2,DC/US/1_15_5,10.254.255.74
fngfw-01-fra,DC/US/1_15,10.254.255.77
fngfw-01-comm2_usw2,DC/US/1_15_6,10.254.255.76
fngfw-01-sng,DC/US/1_15,10.254.255.79
fngfw-01-comm2_usw2,DC/US/1_15_7,10.254.255.78
fngfw-01-lvs,DC/US/1_4,10.254.255.8
fngfw-01-por,DC/US/1_2,10.254.255.9
