Device,Interface,Addresses
coresw-01-iad,loopback1,10.255.230.254
coresw-01-iad,Vlan10,10.230.0.252
coresw-01-iad,Vlan11,10.230.1.252
coresw-01-iad,Vlan12,10.230.2.252
coresw-01-iad,Vlan13,10.230.3.252
coresw-01-iad,Vlan14,10.230.4.252
coresw-01-iad,Vlan15,10.230.5.252
coresw-01-iad,Vlan16,170.176.144.12
coresw-01-iad,Vlan17,10.230.7.253
coresw-01-iad,Vlan32,10.230.33.253
coresw-01-iad,Vlan33,10.230.35.253
coresw-01-iad,Vlan34,10.230.37.253
coresw-01-iad,Vlan128,10.230.128.252
coresw-01-iad,Vlan129,10.230.129.252
coresw-01-iad,Vlan132,10.230.132.252
coresw-01-iad,Vlan133,10.230.133.252
coresw-01-iad,Vlan134,170.176.176.12
coresw-01-iad,Vlan135,170.176.176.140
coresw-01-iad,Vlan136,10.230.136.252
coresw-01-iad,Vlan138,10.230.138.252
coresw-01-iad,Vlan140,10.230.140.252
coresw-01-iad,Vlan998,172.16.0.1
coresw-02-iad,loopback1,10.255.230.253
coresw-02-iad,Vlan10,10.230.0.253
coresw-02-iad,Vlan11,10.230.1.253
coresw-02-iad,Vlan12,10.230.2.253
coresw-02-iad,Vlan13,10.230.3.253
coresw-02-iad,Vlan14,10.230.4.253
coresw-02-iad,Vlan15,10.230.5.253
coresw-02-iad,Vlan16,170.176.144.13
coresw-02-iad,Vlan17,10.230.7.252
coresw-02-iad,Vlan32,10.230.33.252
coresw-02-iad,Vlan33,10.230.35.252
coresw-02-iad,Vlan34,10.230.37.252
coresw-02-iad,Vlan128,10.230.128.253
coresw-02-iad,Vlan129,10.230.129.253
coresw-02-iad,Vlan132,10.230.132.253
coresw-02-iad,Vlan133,10.230.133.253
coresw-02-iad,Vlan134,170.176.176.13
coresw-02-iad,Vlan135,170.176.176.141
coresw-02-iad,Vlan136,10.230.136.253
coresw-02-iad,Vlan138,10.230.138.253
coresw-02-iad,Vlan140,10.230.140.253
coresw-02-iad,Vlan998,172.16.0.2
coresw-01-msp,loopback1,10.255.226.254
coresw-01-msp,Vlan10,10.226.0.252
coresw-01-msp,Vlan11,10.226.1.252
coresw-01-msp,Vlan12,10.226.2.252
coresw-01-msp,Vlan13,10.226.3.252
coresw-01-msp,Vlan14,10.226.4.252
coresw-01-msp,Vlan15,10.226.5.252
coresw-01-msp,Vlan16,170.176.146.12
coresw-01-msp,Vlan32,10.226.33.253
coresw-01-msp,Vlan33,10.226.35.253
coresw-01-msp,Vlan34,10.226.37.253
coresw-01-msp,Vlan211,192.168.211.2
coresw-01-msp,Vlan212,192.168.212.223
coresw-01-msp,Vlan998,172.16.0.1
coresw-02-msp,loopback1,10.255.226.253
coresw-02-msp,Vlan10,10.226.0.253
coresw-02-msp,Vlan11,10.226.1.253
coresw-02-msp,Vlan12,10.226.2.253
coresw-02-msp,Vlan13,10.226.3.253
coresw-02-msp,Vlan14,10.226.4.253
coresw-02-msp,Vlan15,10.226.5.253
coresw-02-msp,Vlan16,170.176.146.13
coresw-02-msp,Vlan32,10.226.33.252
coresw-02-msp,Vlan33,10.226.35.252
coresw-02-msp,Vlan34,10.226.37.252
coresw-02-msp,Vlan211,192.168.211.3
coresw-02-msp,Vlan212,192.168.212.222
coresw-02-msp,Vlan998,172.16.0.2
coresw-01-lvs,loopback1,10.255.232.254
coresw-01-lvs,Vlan10,10.232.0.252
coresw-01-lvs,Vlan11,10.232.1.252
coresw-01-lvs,Vlan12,10.232.2.252
coresw-01-lvs,Vlan13,10.232.3.252
coresw-01-lvs,Vlan14,10.232.4.252
coresw-01-lvs,Vlan15,10.232.5.252
coresw-01-lvs,Vlan16,170.176.145.12
coresw-01-lvs,Vlan32,10.232.33.253
coresw-01-lvs,Vlan33,10.232.35.253
coresw-01-lvs,Vlan34,10.232.37.253
coresw-01-lvs,Vlan152,192.168.152.223
coresw-01-lvs,Vlan998,172.16.0.1
coresw-02-lvs,loopback1,10.255.232.253
coresw-02-lvs,Vlan10,10.232.0.253
coresw-02-lvs,Vlan11,10.232.1.253
coresw-02-lvs,Vlan12,10.232.2.253
coresw-02-lvs,Vlan13,10.232.3.253
coresw-02-lvs,Vlan14,10.232.4.253
coresw-02-lvs,Vlan15,10.232.5.253
coresw-02-lvs,Vlan16,170.176.145.13
coresw-02-lvs,Vlan32,10.232.33.252
coresw-02-lvs,Vlan33,10.232.35.252
coresw-02-lvs,Vlan34,10.232.37.252
coresw-02-lvs,Vlan152,192.168.152.222
coresw-02-lvs,Vlan998,172.16.0.2
coresw-01-fra,Vlan10,10.233.0.252
coresw-01-fra,Vlan11,10.233.1.252
coresw-01-fra,Vlan12,10.233.2.252
coresw-01-fra,Vlan13,10.233.3.252
coresw-01-fra,Vlan14,10.233.4.252
coresw-01-fra,Vlan15,10.233.5.252
coresw-01-fra,Vlan16,170.176.136.12
coresw-01-fra,Vlan17,10.233.7.252
coresw-01-fra,Vlan32,10.233.33.253
coresw-01-fra,Vlan33,10.233.35.253
coresw-01-fra,Vlan34,10.233.37.253
coresw-01-fra,loopback1,10.255.233.254
coresw-02-fra,Vlan10,10.233.0.253
coresw-02-fra,Vlan11,10.233.1.253
coresw-02-fra,Vlan12,10.233.2.253
coresw-02-fra,Vlan13,10.233.3.253
coresw-02-fra,Vlan14,10.233.4.253
coresw-02-fra,Vlan15,10.233.5.253
coresw-02-fra,Vlan16,170.176.136.13
coresw-02-fra,Vlan17,10.233.7.253
coresw-02-fra,Vlan32,10.233.33.252
coresw-02-fra,Vlan33,10.233.35.252
coresw-02-fra,Vlan34,10.233.37.252
coresw-02-fra,Vlan998,172.16.0.2
coresw-02-fra,loopback1,10.255.233.253
coresw-01-sng,Vlan10,10.229.0.252
coresw-01-sng,Vlan11,10.229.1.252
coresw-01-sng,Vlan12,10.229.2.252
coresw-01-sng,Vlan13,10.229.3.252
coresw-01-sng,Vlan14,10.229.4.252
coresw-01-sng,Vlan15,10.229.5.252
coresw-01-sng,Vlan16,170.176.128.12
coresw-01-sng,Vlan32,10.229.33.253
coresw-01-sng,Vlan33,10.229.35.253
coresw-01-sng,Vlan34,10.229.37.253
coresw-01-sng,loopback1,10.255.229.254
coresw-02-sng,Vlan10,10.229.0.253
coresw-02-sng,Vlan11,10.229.1.253
coresw-02-sng,Vlan12,10.229.2.253
coresw-02-sng,Vlan13,10.229.3.253
coresw-02-sng,Vlan14,10.229.4.253
coresw-02-sng,Vlan15,10.229.5.253
coresw-02-sng,Vlan16,170.176.128.13
coresw-02-sng,Vlan32,10.229.33.252
coresw-02-sng,Vlan33,10.229.35.252
coresw-02-sng,Vlan34,10.229.37.252
coresw-02-sng,loopback1,10.255.229.253
coresw-01-ams,Vlan10,10.227.0.252
coresw-01-ams,Vlan11,10.227.1.252
coresw-01-ams,Vlan12,10.227.2.252
coresw-01-ams,Vlan13,10.227.3.252
coresw-01-ams,Vlan14,10.227.4.252
coresw-01-ams,Vlan15,10.227.5.252
coresw-01-ams,Vlan16,170.176.137.12
coresw-01-ams,Vlan32,10.227.33.253
coresw-01-ams,Vlan33,10.227.35.253
coresw-01-ams,Vlan34,10.227.37.253
coresw-01-ams,Vlan998,172.16.0.1
coresw-01-ams,loopback1,10.255.227.254
coresw-02-ams,Vlan10,10.227.0.253
coresw-02-ams,Vlan11,10.227.1.253
coresw-02-ams,Vlan12,10.227.2.253
coresw-02-ams,Vlan13,10.227.3.253
coresw-02-ams,Vlan14,10.227.4.253
coresw-02-ams,Vlan15,10.227.5.253
coresw-02-ams,Vlan16,170.176.137.13
coresw-02-ams,Vlan32,10.227.33.252
coresw-02-ams,Vlan33,10.227.35.252
coresw-02-ams,Vlan34,10.227.37.252
coresw-02-ams,Vlan998,172.16.0.2
coresw-02-ams,loopback1,10.255.227.253
