Range,Title,Description,isContainer,isSubnet,Action
10.254.255.0/24,WAN P2P Networks,WAN Fortigates,yes,no,update
10.254.255.0/31,WAN P2P,WAN LVS<>IAD,no,no,update
10.254.255.10/31,WAN P2P,WAN POR<>MSP,no,no,update
10.254.255.12/31,WAN P2P,WAN POR<>AMS,no,no,update
10.254.255.14/31,WAN P2P,WAN IAD<>AMS,no,no,update
10.254.255.16/31,WAN P2P,WAN MSP<>AMS,no,no,update
10.254.255.18/31,WAN P2P,WAN LVS<>AMS,no,no,update
10.254.255.2/31,WAN P2P,WAN MSP<>IAD,no,no,update
10.254.255.20/31,WAN P2P,WAN FRA<>AMS,no,no,update
10.254.255.22/31,WAN P2P,WAN FRA<>IAD,no,no,update
10.254.255.24/31,WAN P2P,WAN FRA<>LVS,no,no,update
10.254.255.26/31,WAN P2P,WAN FRA<>MSP,no,no,update
10.254.255.28/31,WAN P2P,WAN FRA<>POR,no,no,update
10.254.255.30/31,WAN P2P,WAN AWS-Fed/USE2_AWS-Fed/USW2,no,no,update
10.254.255.32/31,WAN P2P,WAN Fed/IAD<>AWS-Fed/USW2,no,no,update
10.254.255.34/31,WAN P2P,WAN Fed/IAD<>AWS-Fed/USE2,no,no,update
10.254.255.36/31,WAN P2P,WAN VDI<>AWS-Fed/USE2,no,no,update
10.254.255.38/31,WAN P2P,WAN VDI<>AWS-Fed/USW2,no,no,update
10.254.255.4/31,WAN P2P,WAN POR<>IAD,no,no,update
10.254.255.40/31,WAN P2P,WAN VDI<>Fed/IAD,no,no,update
10.254.255.42/31,WAN P2P,WAN VDI<>AMS,no,no,update
10.254.255.44/31,WAN P2P,WAN VDI<>IAD,no,no,update
10.254.255.46/31,WAN P2P,WAN VDI<>LVS,no,no,update
10.254.255.48/31,WAN P2P,WAN VDI<>MSP,no,no,update
10.254.255.50/31,WAN P2P,WAN VDI<>POR,no,no,update
10.254.255.52/31,WAN P2P,WAN VDI<>FRA,no,no,update
10.254.255.54/31,WAN P2P,WAN SNG<>MSP,no,no,update
10.254.255.56/31,WAN P2P,WAN SNG<>IAD,no,no,update
10.254.255.58/31,WAN P2P,WAN SNG<>LVS,no,no,update
10.254.255.6/31,WAN P2P,WAN MSP<>LVS,no,no,update
10.254.255.60/31,WAN P2P,WAN SNG<>POR,no,no,update
10.254.255.62/31,WAN P2P,WAN SNG<>AMS,no,no,update
10.254.255.64/31,WAN P2P,WAN SNG<>FRA,no,no,update
10.254.255.66/31,WAN P2P,WAN comm2_usw2<>IAD,no,no,update
10.254.255.68/31,WAN P2P,WAN comm2_usw2<>MSP,no,no,update
10.254.255.70/31,WAN P2P,WAN comm2_usw2<>LVS,no,no,update
10.254.255.72/31,WAN P2P,WAN comm2_usw2<>POR,no,no,update
10.254.255.74/31,WAN P2P,WAN comm2_usw2<>AMS,no,no,update
10.254.255.76/31,WAN P2P,WAN comm2_usw2<>FRA,no,no,update
10.254.255.78/31,WAN P2P,WAN comm2_usw2<>SNG,no,no,update
10.254.255.8/31,WAN P2P,WAN POR<>LVS,no,no,update
